Subject,Phase,State,Choice,Reward,Stay,Trial,Task,k,t
16,learn,high,0,1,1,14,1,14,59
16,reversal,low,0,0,-1,15,1,15,61
16,reversal,low,0,0,1,16,1,16,63
16,reversal,high,0,0,-1,15,1,15,65
16,reversal,high,1,0,0,16,1,16,67
16,reversal,low,0,0,1,17,1,17,69
16,reversal,high,0,1,0,17,1,17,71
16,reversal,high,0,0,1,18,1,18,73
16,reversal,high,1,1,0,19,1,19,75
16,reversal,low,0,0,1,18,1,18,77
16,reversal,low,1,1,0,19,1,19,79
16,reversal,high,1,1,1,20,1,20,81
16,reversal,low,1,1,1,20,1,20,83
16,reversal,high,1,1,1,21,1,21,85
16,reversal,low,1,0,1,21,1,21,87
16,reversal,low,1,1,1,22,1,22,89
16,reversal,low,1,1,1,23,1,23,91
16,reversal,high,1,1,1,22,1,22,93
16,reversal,high,1,0,1,23,1,23,95
16,reversal,low,1,1,1,24,1,24,97
16,reversal,high,1,1,1,24,1,24,99
16,reversal,high,1,0,1,25,1,25,101
16,reversal,low,1,0,1,25,1,25,103
16,reversal,high,1,1,1,26,1,26,105
16,reversal,high,1,1,1,27,1,27,107
16,reversal,low,1,1,1,26,1,26,109
16,reversal,high,1,1,1,28,1,28,111
16,reversal,low,1,1,1,27,1,27,113
16,reversal,low,1,1,1,28,1,28,115
16,reversal,high,1,1,1,29,1,29,117
16,reversal,low,1,1,1,29,1,29,119
17,learn,high,1,1,-1,0,1,0,1
17,learn,high,1,1,1,1,1,1,3
17,learn,low,1,1,-1,0,1,0,5
17,learn,low,1,0,1,1,1,1,7
17,learn,high,1,1,1,2,1,2,9
17,learn,high,1,0,1,3,1,3,11
17,learn,low,1,1,1,2,1,2,13
17,learn,low,1,1,1,3,1,3,15
17,learn,low,1,1,1,4,1,4,17
17,learn,high,1,1,1,4,1,4,19
17,learn,low,1,1,1,5,1,5,21
17,learn,low,1,0,1,6,1,6,23
17,learn,high,1,0,1,5,1,5,25
17,learn,high,0,0,0,6,1,6,27
17,learn,low,1,1,1,7,1,7,29
17,learn,high,1,1,0,7,1,7,31
17,learn,low,1,1,1,8,1,8,33
17,learn,high,1,1,1,8,1,8,35
17,learn,high,1,1,1,9,1,9,37
17,learn,low,1,1,1,9,1,9,39
17,learn,high,1,1,1,10,1,10,41
17,learn,high,1,0,1,11,1,11,43
17,learn,high,1,1,1,12,1,12,45
17,learn,low,1,0,1,10,1,10,47
17,learn,low,1,1,1,11,1,11,49
17,learn,low,1,1,1,12,1,12,51
17,learn,high,1,1,1,13,1,13,53
17,learn,high,1,1,1,14,1,14,55
17,learn,low,1,1,1,13,1,13,57
17,learn,low,1,1,1,14,1,14,59
17,reversal,high,0,0,-1,15,1,15,61
17,reversal,high,0,0,1,16,1,16,63
17,reversal,high,0,0,1,17,1,17,65
17,reversal,low,0,0,-1,15,1,15,67
17,reversal,low,0,0,1,16,1,16,69
17,reversal,low,0,0,1,17,1,17,71
17,reversal,high,0,0,1,18,1,18,73
17,reversal,low,0,1,1,18,1,18,75
17,reversal,low,1,1,0,19,1,19,77
17,reversal,high,0,1,1,19,1,19,79
17,reversal,high,1,1,0,20,1,20,81
17,reversal,high,1,1,1,21,1,21,83
17,reversal,low,1,0,1,20,1,20,85
17,reversal,high,0,0,0,22,1,22,87
17,reversal,high,0,0,1,23,1,23,89
17,reversal,low,1,1,1,21,1,21,91
17,reversal,low,0,0,0,22,1,22,93
17,reversal,low,1,1,0,23,1,23,95
17,reversal,low,0,0,0,24,1,24,97
17,reversal,high,0,0,1,24,1,24,99
17,reversal,high,1,1,0,25,1,25,101
17,reversal,high,0,0,0,26,1,26,103
17,reversal,low,0,1,1,25,1,25,105
17,reversal,low,0,0,1,26,1,26,107
17,reversal,low,0,0,1,27,1,27,109
17,reversal,high,1,1,0,27,1,27,111
17,reversal,high,1,1,1,28,1,28,113
17,reversal,low,0,0,1,28,1,28,115
17,reversal,high,1,0,1,29,1,29,117
17,reversal,low,1,1,0,29,1,29,119
18,learn,low,1,0,-1,0,1,0,1
18,learn,high,0,0,-1,0,1,0,3
18,learn,high,1,0,0,1,1,1,5
18,learn,high,1,1,1,2,1,2,7
18,learn,low,1,1,1,1,1,1,9
18,learn,low,0,0,0,2,1,2,11
18,learn,low,1,1,0,3,1,3,13
18,learn,high,1,1,1,3,1,3,15
18,learn,high,1,1,1,4,1,4,17
18,learn,low,0,0,0,4,1,4,19
18,learn,low,0,0,1,5,1,5,21
18,learn,low,1,0,0,6,1,6,23
18,learn,low,1,1,1,7,1,7,25
18,learn,high,1,1,1,5,1,5,27
18,learn,high,0,0,0,6,1,6,29
18,learn,high,0,0,1,7,1,7,31
18,learn,high,1,0,0,8,1,8,33
18,learn,high,1,1,1,9,1,9,35
18,learn,low,1,1,1,8,1,8,37
18,learn,low,1,1,1,9,1,9,39
18,learn,high,0,0,0,10,1,10,41
18,learn,high,0,0,1,11,1,11,43
18,learn,high,1,1,0,12,1,12,45
18,learn,low,1,1,1,10,1,10,47
18,learn,low,1,1,1,11,1,11,49
18,learn,low,1,1,1,12,1,12,51
18,learn,low,1,1,1,13,1,13,53
18,learn,high,0,0,0,13,1,13,55
18,learn,low,0,0,0,14,1,14,57
18,learn,high,1,1,0,14,1,14,59
18,reversal,low,0,0,-1,15,1,15,61
18,reversal,high,1,0,-1,15,1,15,63
18,reversal,high,1,1,1,16,1,16,65
18,reversal,high,1,1,1,17,1,17,67
18,reversal,low,0,1,1,16,1,16,69
18,reversal,low,0,0,1,17,1,17,71
18,reversal,high,1,1,1,18,1,18,73
18,reversal,high,1,1,1,19,1,19,75
18,reversal,low,1,0,0,18,1,18,77
18,reversal,low,1,1,1,19,1,19,79
18,reversal,low,1,1,1,20,1,20,81
